class,biome,d13C,d15N
Aves,Amazon,-25.29,11.52
Aves,Amazon,-28.44,11.49
Aves,Amazon,-26.52,9.99
Aves,Amazon,-29.84,9.84
Aves,Amazon,-27.04,9.71
Aves,Amazon,-26.17,9.54
Aves,Amazon,-25.92,9.53
Aves,Amazon,-27.46,9.47
Aves,Amazon,-27.85,8.96
Aves,Amazon,-27.42,8.75
Aves,Amazon,-26.64,8.65
Aves,Amazon,-27.74,8.52
Aves,Amazon,-26.82,7.93
Aves,Amazon,-27.75,7.77
Aves,Amazon,-26.26,7.06
Aves,Amazon,-19.32,-0.15
Aves,Atlantic,-14.84,13.03
Aves,Atlantic,-21.09,11.04
Aves,Atlantic,-18.68,11.02
Aves,Atlantic,-16.01,10.79
Aves,Atlantic,-19.58,10.7
Aves,Atlantic,-20.52,10.4
Aves,Atlantic,-18.21,10.09
Aves,Atlantic,-19.66,9.94
Aves,Atlantic,-20.62,9.91
Aves,Atlantic,-18.57,9.77
Aves,Atlantic,-16.83,9.68
Aves,Atlantic,-19.15,9.66
Aves,Atlantic,-20.58,9.57
Aves,Atlantic,-18.33,9.54
Aves,Atlantic,-20.33,9.52
Aves,Atlantic,-20.42,9.38
Aves,Atlantic,-19.57,9.29
Aves,Atlantic,-18.99,9.15
Aves,Atlantic,-16.89,9.12
Aves,Atlantic,-19.92,9.01
Aves,Atlantic,-20.19,8.93
Aves,Atlantic,-20.36,8.86
Aves,Atlantic,-17.64,8.82
Aves,Atlantic,-19.46,8.8
Aves,Atlantic,-17.47,8.69
Aves,Atlantic,-21.03,8.65
Aves,Atlantic,-19.93,8.58
Aves,Atlantic,-18.97,8.56
Aves,Atlantic,-18.49,8.53
Aves,Atlantic,-18.85,8.5
Aves,Atlantic,-18.82,8.49
Aves,Atlantic,-20.72,8.47
Aves,Atlantic,-15.05,8.46
Aves,Atlantic,-20.6,8.44
Aves,Atlantic,-23.56,8.23
Aves,Atlantic,-21.26,8.21
Aves,Atlantic,-17.9,8.17
Aves,Atlantic,-22.7,8.17
Aves,Atlantic,-19.5,8.13
Aves,Atlantic,-19.57,8.08
Aves,Atlantic,-19.13,8.02
Aves,Atlantic,-20,8.01
Aves,Atlantic,-19.56,7.92
Aves,Atlantic,-20.33,7.85
Aves,Atlantic,-16.92,7.82
Aves,Atlantic,-21.59,7.8
Aves,Atlantic,-22.28,7.77
Aves,Atlantic,-14.28,7.76
Aves,Atlantic,-18.26,7.69
Aves,Atlantic,-20.31,7.67
Aves,Atlantic,-18.61,7.63
Aves,Atlantic,-20.02,7.54
Aves,Atlantic,-20.1,7.5
Aves,Atlantic,-17.78,7.48
Aves,Atlantic,-20.58,7.48
Aves,Atlantic,-23.71,7.48
Aves,Atlantic,-18.88,7.37
Aves,Atlantic,-18.96,7.35
Aves,Atlantic,-21.71,7.11
Aves,Atlantic,-20.21,7.09
Aves,Atlantic,-19.47,7.06
Aves,Atlantic,-19.14,7.03
Aves,Atlantic,-21.31,6.97
Aves,Atlantic,-15.69,6.8
Aves,Atlantic,-19.5,6.79
Aves,Atlantic,-20.35,6.79
Aves,Atlantic,-21.82,6.68
Aves,Atlantic,-25.37,6.6
Aves,Atlantic,-20.49,6.59
Aves,Atlantic,-20.21,6.49
Aves,Atlantic,-17.5,6.43
Aves,Atlantic,-18.92,6.27
Aves,Atlantic,-22.3,6.26
Aves,Atlantic,-22.56,6.25
Aves,Atlantic,-20.56,6.16
Aves,Atlantic,-20.55,6.12
Aves,Atlantic,-20.59,6.12
Aves,Atlantic,-21.53,6.08
Aves,Atlantic,-21.49,6.07
Aves,Atlantic,-23.05,6.06
Aves,Atlantic,-21.38,5.96
Aves,Atlantic,-23.51,5.94
Aves,Atlantic,-18.81,5.83
Aves,Atlantic,-21.12,5.82
Aves,Atlantic,-18.35,5.78
Aves,Atlantic,-20.3,5.76
Aves,Atlantic,-24.61,5.7
Aves,Atlantic,-14.76,5.64
Aves,Atlantic,-20.36,5.55
Aves,Atlantic,-13.66,5.4
Aves,Atlantic,-20.64,5.39
Aves,Atlantic,-22.36,5.18
Aves,Atlantic,-21.33,5.1
Aves,Atlantic,-24.4,5.1
Aves,Atlantic,-22.29,5.03
Aves,Atlantic,-22.91,5.03
Aves,Atlantic,-20.25,4.98
Aves,Atlantic,-19.74,4.92
Aves,Atlantic,-22.24,4.92
Aves,Atlantic,-27.38,4.92
Aves,Atlantic,-22.01,4.8
Aves,Atlantic,-22.24,4.76
Aves,Atlantic,-25.26,4.62
Aves,Atlantic,-22.93,4.6
Aves,Atlantic,-21.51,4.55
Aves,Atlantic,-22.4,4.5
Aves,Atlantic,-22.66,4.36
Aves,Atlantic,-26.08,4.33
Aves,Atlantic,-25.27,4.2
Aves,Atlantic,-15.14,4.14
Aves,Atlantic,-23.19,4.11
Aves,Atlantic,-23.71,3.86
Aves,Atlantic,-24.05,3.86
Aves,Atlantic,-21.9,3.71
Aves,Atlantic,-24.29,3.38
Aves,Atlantic,-10.67,3.31
Aves,Atlantic,-22.47,3.31
Aves,Atlantic,-26.92,3.1
Aves,Atlantic,-24.06,3.06
Aves,Atlantic,-26.27,3.03
Aves,Atlantic,-12.84,3.01
Aves,Atlantic,-18.98,2.96
Aves,Atlantic,-14.94,2.95
Aves,Atlantic,-25.45,2.95
Aves,Atlantic,-25.51,2.73
Aves,Atlantic,-24.21,2.68
Aves,Atlantic,-27,2.52
Aves,Atlantic,-12.56,2.43
Aves,Atlantic,-25.11,2.27
Aves,Atlantic,-11.55,2.05
Aves,Atlantic,-26.13,1.74
Aves,Atlantic,-11.73,1.72
Aves,Atlantic,-25.98,1.36
Aves,Atlantic,-25.86,1.27
Aves,Atlantic,-14.81,0.91
Aves,Atlantic,-27.43,0.51
Aves,Atlantic,-24,0.43
Aves,Atlantic,-22.32,0.38
