biome,d13C,d15N
Atlantic,-26.98,11.02
Atlantic,-25.58,11.69
Atlantic,-26.9,8.68
Atlantic,-27.38,10.48
Amazon,-36.68,11.48
Amazon,-34.62,9.26
Amazon,-34.46,8.72
Amazon,-32.1,9.8
Amazon,-37,9.9
Amazon,-33.4,10.6
Amazon,-32.2,10.3
Amazon,-31.3,10.3
Amazon,-32.71,10.4
Amazon,-32.5,11.7
Amazon,-31.9,11
Amazon,-33.02,9.31
Amazon,-32.8,8.4
Amazon,-32.4,9.2
Amazon,-32.5,11.4
Amazon,-32.6,9.9
Amazon,-32.7,10.6
Amazon,-32.3,9.3
Amazon,-32.17,8.83
Amazon,-34.35,10.48
Amazon,-36.6,9.08
Amazon,-25.89,9.4
Amazon,-28,10.9
Amazon,-21.6,6.2
Atlantic,-26.1,6.54
Atlantic,-32.31,6.32
Atlantic,-29.83,5.86
Atlantic,-23.92,5.51
Atlantic,-26.09,6.97
Atlantic,-24.28,5.35
Atlantic,-20.63,11.36
Atlantic,-31.57,5.38
Atlantic,-22.15,15.41
Atlantic,-25.14,15.93
Atlantic,-25.03,13.75
Atlantic,-26.64,14.04
Atlantic,-24.57,14.19
Atlantic,-25.13,14.5
Atlantic,-24.44,14.7
Atlantic,-25.08,14.99
Atlantic,-25.65,15.3
Atlantic,-25.67,15.47
Atlantic,-26.84,15.73
Atlantic,-24.55,16.02
Atlantic,-23.61,14.65
Atlantic,-23.05,11.97
Atlantic,-28.07,12.71
Atlantic,-23.87,13.95
Pantanal,-27.45,-0.2
Pantanal,-26.88,-0.32
Pantanal,-31.64,4.9
Pantanal,-35.53,5.35
Pantanal,-37.28,6.14
Pantanal,-36.88,5.24
Pantanal,-39.28,5.98
Pantanal,-37.95,6.32
Pantanal,-39.53,6.85
Pantanal,-35.77,4.73
Pantanal,-33.91,5.87
Amazon,-35.86,5.32
Amazon,-28.79,7
Amazon,-31.93,7.86
Amazon,-32.39,8.3
Amazon,-34.08,5.29
Amazon,-32.88,7.56
Amazon,-32.49,7.85
Amazon,-32.12,8.09
Amazon,-32.35,8.28
Amazon,-32.74,8.75
Amazon,-32.19,9.09
Cerrado,-29.75,7.5
Cerrado,-24.88,8.6
Cerrado,-25.47,8.12
Cerrado,-24.23,10.14
Cerrado,-27.17,8.45
Cerrado,-29.44,6.91
Cerrado,-25.39,9.39
Cerrado,-29.09,8.56
Cerrado,-22.19,5.28
Cerrado,-22.77,5.7
Cerrado,-20.29,7.08
Cerrado,-25.36,6.51
Cerrado,-26.33,8.17
Cerrado,-27.39,8.64
Cerrado,-27.85,9.32
Cerrado,-28.12,8.05
Cerrado,-28,7.96
Cerrado,-29.11,8.26
Cerrado,-30.14,8.69
Cerrado,-27.42,7.84
Cerrado,-34.81,7.91
Cerrado,-23.95,10.94
Cerrado,-25.84,9.17
Cerrado,-26.59,8.64
Cerrado,-24.96,9.88
Cerrado,-24.32,9.91
Cerrado,-28.51,8.55
Cerrado,-26.44,9.53
Cerrado,-24.16,8.26
Cerrado,-29.15,8.07
Cerrado,-32.05,9.03
Cerrado,-33.16,8.32
Cerrado,-28.81,7.2
Cerrado,-25.43,5.59
Cerrado,-24.55,7.33
Cerrado,-23.74,7.59
Cerrado,-33.99,7.09
Cerrado,-20.97,8.44
Cerrado,-25.42,9.42
Cerrado,-24.32,7.99
Cerrado,-21.87,5.58
Cerrado,-25.49,9.72
Cerrado,-24.9,8.21
Cerrado,-21.92,5.96
Cerrado,-24.48,7.44
Cerrado,-26.8,11.33
Cerrado,-23.25,9.68
Cerrado,-28.74,7.5
Cerrado,-26.24,9.5
Cerrado,-32.98,5.79
Cerrado,-33.12,6.11
Cerrado,-30.12,7.55
Cerrado,-28.78,8.71
Cerrado,-24.14,8.62
Cerrado,-28.35,6.91
Cerrado,-28,6.74
Cerrado,-27.89,7.49
Cerrado,-21.89,6.96
Atlantic,-18.6,11.18
Atlantic,-20.05,11.51
Atlantic,-19.68,10.93
Atlantic,-26.72,5.65
Atlantic,-33.01,6.32
Atlantic,-30.53,5.86
Atlantic,-24.62,5.51
Atlantic,-26.79,6.97
Atlantic,-22.6,9.76
Atlantic,-29.27,6.32
Atlantic,-27.65,5.01
Atlantic,-27.08,7.73
Atlantic,-30.58,6.63
Atlantic,-33.88,5.65
Atlantic,-22.5,10.73
Atlantic,-21.18,6.37
Atlantic,-17.53,11.21
Atlantic,-25.52,6.89
Atlantic,-22.72,7.38
Atlantic,-20.06,7.63
Atlantic,-22.48,8.16
Atlantic,-19.62,8.4
Atlantic,-23.43,8.63
Atlantic,-19.28,8.88
Atlantic,-22.48,9.08
Atlantic,-16.12,9.21
Atlantic,-25.92,9.38
Atlantic,-20.47,9.46
Atlantic,-23.03,9.54
Atlantic,-22.33,9.85
Atlantic,-23.61,10.17
Atlantic,-19.59,10.82
Atlantic,-23.07,6.1
Atlantic,-24.56,6.35
Atlantic,-24.19,6.95
Atlantic,-24.38,7.08
Atlantic,-23.32,7.48
Atlantic,-22.16,7.78
Atlantic,-23.71,8
Atlantic,-19.08,8.27
Atlantic,-18.18,8.49
Atlantic,-23.32,8.73
Atlantic,-23.35,8.98
Atlantic,-21.53,9.44
Atlantic,-21.62,9.82
Atlantic,-27.61,11.35
Cerrado,-23.45,7.59
Cerrado,-22.9,8.68
Cerrado,-20.92,9.74
Cerrado,-23.26,9.88
Cerrado,-25.3,4.44
Cerrado,-24.73,4.98
Cerrado,-32.59,6.06
Cerrado,-28.37,7.32
Atlantic,-30.52,5.53
Cerrado,-23.56,5.95
Cerrado,-22.5,6.38
Cerrado,-22.2,6.7
Cerrado,-21.62,6.99
Cerrado,-21.93,7.47
Caatinga,-18.2,6.65
Caatinga,-18.84,7.49
Caatinga,-20.09,10.22
Caatinga,-20.92,11.91
Caatinga,-21.87,8.36
Caatinga,-22.1,13.91
Caatinga,-22.56,14.07
Caatinga,-22.99,9.71
Caatinga,-23.64,12.11
Caatinga,-24.24,9.03
Caatinga,-24.49,13.4
Atlantic,-28.99,9.23
Caatinga,-25.11,12.64
Caatinga,-24.03,12.96
Caatinga,-17.92,6.48
Caatinga,-19.48,7.84
Caatinga,-20.58,11.6
Caatinga,-23.09,10.68
Caatinga,-16.58,8.01
Caatinga,-20.7,7.7
Caatinga,-20.16,13.11
Caatinga,-21.53,9.66
Caatinga,-26.5,13.04
Caatinga,-27.37,12.23
Atlantic,-26.57,6.6
Atlantic,-27.48,7.69
Atlantic,-27.84,8.47
Atlantic,-26.72,7.41
Atlantic,-29.27,12.16
Atlantic,-31.56,16.31
Atlantic,-34.27,10.51
Caatinga,-17.77,7.73
Caatinga,-18.81,11.12
Caatinga,-19.88,13.99
Caatinga,-22.2,16.24
Caatinga,-23.07,8.8
Caatinga,-23.5,6.93
Caatinga,-23.6,14.87
Caatinga,-24.23,13.53
Caatinga,-24.86,15.46
Caatinga,-25.29,10.51
Caatinga,-16.97,7.3
Caatinga,-20.25,8.09
Caatinga,-24.29,13.08
Caatinga,-15.94,8.08
Caatinga,-21.5,15.1
Caatinga,-26.35,13.8
Caatinga,-18.3,12.65
Caatinga,-19.81,11.13
Caatinga,-20.46,10.62
Caatinga,-21.21,10.92
Caatinga,-22.09,8.35
Caatinga,-23.64,15.79
Caatinga,-24.97,12.02
Caatinga,-25.61,11.72
Caatinga,-26.74,12.18
Caatinga,-19.69,14.5
Caatinga,-22.3,14.65
Caatinga,-23.32,9.97
Caatinga,-25.58,13.37
Caatinga,-21.45,14.47
Caatinga,-23.8,12.63
Caatinga,-28.14,10.89
Caatinga,-18.4,9.95
Caatinga,-20.83,10.23
Caatinga,-22.22,10.67
Caatinga,-24.17,13.99
Caatinga,-22.02,13.64
Caatinga,-23.54,11.67
Atlantic,-26.95,7.27
Atlantic,-22.11,7.97
Amazon,-26.6,7.8
Atlantic,-27.75,4.99
Atlantic,-28.69,5.8
Atlantic,-27.99,6.21
Atlantic,-28.56,6.96
Atlantic,-22.99,6.77
Atlantic,-26.92,9.43
Atlantic,-24.85,9.05
Atlantic,-34.2,9.13
Atlantic,-27.17,9.24
Atlantic,-28.37,7.55
Atlantic,-30.42,5.45
Atlantic,-20.88,4.42
Atlantic,-21.26,5.02
Atlantic,-23.33,6.51
Cerrado,-21.28,20.77
Cerrado,-20.82,13.89
Cerrado,-22.4,12.24
Atlantic,-23.78,6.87
Cerrado,-20.83,18.29
Cerrado,-21.08,20.86
Cerrado,-20.34,19.39
Cerrado,-22.82,23.58
Atlantic,-27.02,8.61
Cerrado,-20.93,23.56
Atlantic,-26.98,6.86
Cerrado,-21.03,16.28
Cerrado,-20.68,18.71
Cerrado,-16.57,20.72
Atlantic,-19.39,8.31
Cerrado,-22.93,27.13
Cerrado,-22.3,14.87
Atlantic,-25.39,7.95
Atlantic,-20.8,7.58
Cerrado,-17.86,23.22
Cerrado,-20.62,19.44
Cerrado,-18.91,20.29
Cerrado,-21.67,16.54
Cerrado,-21.35,19.49
Caatinga,-26.23,5.95
Caatinga,-24.76,6.36
Caatinga,-24.46,4.63
Caatinga,-27.6,12.29
Amazon,-32.37,7.41
Amazon,-26.31,9.1
Amazon,-36.02,6.87
Amazon,-38.08,7.69
Amazon,-33.31,9.06
Amazon,-33.67,7.54
Amazon,-35.51,7.7
Amazon,-28.41,5.77
Amazon,-29.23,8.87
Amazon,-27.98,5.12
Amazon,-28.25,7.73
Amazon,-34.69,7.48
Amazon,-32.39,-0.4
Amazon,-31.81,5.81
Amazon,-38.03,5.1
Amazon,-33.22,6.49
Amazon,-30.66,6.81
