class,biome,d13C,d15N
Mammalia,Atlantic,-27.75,-0.41
Mammalia,Atlantic,-26.6,-0.19
Mammalia,Atlantic,-27.65,0.02
Mammalia,Atlantic,-27.48,0.39
Mammalia,Atlantic,-26.18,0.71
Mammalia,Atlantic,-27.48,1.03
Mammalia,Atlantic,-26.32,1.29
Mammalia,Atlantic,-26.01,2.07
Mammalia,Atlantic,-26.42,2.3
Mammalia,Atlantic,-27.38,2.79
Mammalia,Atlantic,-25.83,2.95
Mammalia,Atlantic,-26.85,3.31
Mammalia,Atlantic,-26.5,3.5
Mammalia,Atlantic,-26.01,3.76
Mammalia,Atlantic,-26.62,4.4
Mammalia,Atlantic,-27.64,-0.73
Mammalia,Atlantic,-27.87,-0.23
Mammalia,Atlantic,-26.53,0.26
Mammalia,Atlantic,-28.16,0.71
Mammalia,Pantanal,-29.82,1.77
Mammalia,Pantanal,-29.66,1.12
Mammalia,Atlantic,-29.59,1.63
Mammalia,Atlantic,-29.41,-0.31
Mammalia,Atlantic,-29.31,1.45
Mammalia,Pantanal,-29.23,1.15
Mammalia,Atlantic,-29.17,-0.13
Mammalia,Pantanal,-29.1,3.07
Mammalia,Pantanal,-28.98,1.42
Mammalia,Atlantic,-28.91,-1.05
Mammalia,Atlantic,-28.84,0.37
Mammalia,Pantanal,-28.77,1.73
Mammalia,Pantanal,-28.71,1.24
Mammalia,Atlantic,-28.6,-0.37
Mammalia,Pantanal,-28.58,1.48
Mammalia,Pantanal,-28.5,1.2
Mammalia,Atlantic,-28.44,0.96
Mammalia,Atlantic,-28.36,0.18
Mammalia,Atlantic,-28.27,-0.37
Mammalia,Atlantic,-28.1,2.75
Mammalia,Pantanal,-28.01,2.26
Mammalia,Cerrado,-27.91,1.29
Mammalia,Cerrado,-27.82,0.83
Mammalia,Cerrado,-27.7,1.76
Mammalia,Cerrado,-27.48,0.15
Mammalia,Cerrado,-27.12,3.05
Mammalia,Atlantic,-26.8,2.04
Mammalia,Cerrado,-26.24,3.83
Mammalia,Cerrado,-25.47,1.85
Mammalia,Cerrado,-24.81,1.85
Mammalia,Atlantic,-24.53,4.23
Mammalia,Atlantic,-24.16,5
Mammalia,Atlantic,-23.24,6.61
Mammalia,Cerrado,-26.69,-0.82
Mammalia,Cerrado,-27.97,-0.07
Mammalia,Cerrado,-27.75,1.36
Mammalia,Cerrado,-26.41,2.3
Mammalia,Cerrado,-28.66,1.11
Mammalia,Cerrado,-27.37,-2.09
Mammalia,Cerrado,-27.72,-0.98
Mammalia,Cerrado,-29.91,-1.58
Mammalia,Cerrado,-30.86,-0.81
Mammalia,Cerrado,-29.57,-0.16
Mammalia,Cerrado,-28.76,0.07
Mammalia,Cerrado,-29.16,0.61
Mammalia,Cerrado,-28.72,-2.93
Mammalia,Cerrado,-29.98,-0.93
Mammalia,Cerrado,-28.69,-4.79
Mammalia,Cerrado,-28.17,-2.89
Mammalia,Cerrado,-16.39,-2.66
Mammalia,Cerrado,-29.08,-1.54
Mammalia,Cerrado,-20.55,-1.19
Mammalia,Cerrado,-27.25,-2.48
Mammalia,Cerrado,-29.57,-1.6
Mammalia,Cerrado,-27.82,0.48
Mammalia,Cerrado,-29.38,-2.9
Mammalia,Cerrado,-27.09,-1.51
Mammalia,Cerrado,-30.33,-0.98
Mammalia,Cerrado,-12.75,1.01
Mammalia,Cerrado,-19.52,0.37
Mammalia,Cerrado,-12.77,0.41
Mammalia,Cerrado,-13.24,1.06
Mammalia,Cerrado,-13.77,1.07
Mammalia,Cerrado,-21.04,5.07
Mammalia,Cerrado,-19.82,5.44
Mammalia,Pantanal,-17.96,6.02
Mammalia,Cerrado,-16.58,5.54
Mammalia,Cerrado,-19.55,5.34
Mammalia,Cerrado,-18.63,3.34
Mammalia,Cerrado,-23.77,4.04
Mammalia,Cerrado,-17.53,5.26
Mammalia,Cerrado,-25.09,1.49
Mammalia,Cerrado,-25.04,5.19
Mammalia,Cerrado,-17.89,6.58
Mammalia,Cerrado,-25.89,-0.01
Mammalia,Pantanal,-28.03,3.05
Mammalia,Cerrado,-26.93,0.79
Mammalia,Cerrado,-16.11,0.52
Mammalia,Cerrado,-25.97,2.26
Mammalia,Cerrado,-13.05,2.7
Mammalia,Cerrado,-13.84,4.05
Mammalia,Cerrado,-13.79,4.01
Mammalia,Pantanal,-16.84,2.89
Mammalia,Cerrado,-21.97,3
Mammalia,Cerrado,-18.48,1.72
Mammalia,Cerrado,-19.99,0.43
Mammalia,Cerrado,-11.32,1.39
Mammalia,Cerrado,-20.6,-0.69
Mammalia,Cerrado,-14.53,3.92
Mammalia,Cerrado,-16.06,5.6
Mammalia,Pantanal,-20.71,5.38
Mammalia,Cerrado,-16.17,7.27
Mammalia,Cerrado,-26.26,-2
Mammalia,Cerrado,-18.65,3.78
Mammalia,Cerrado,-18.88,2.51
Mammalia,Cerrado,-22.38,1.59
Mammalia,Cerrado,-24.12,0.91
Mammalia,Cerrado,-21.21,-0.55
Mammalia,Cerrado,-14.94,1.6
Mammalia,Cerrado,-20.37,-0.13
Mammalia,Pantanal,-28.16,1.46
